y,A,Z,N,A^2,A^3,A^4,A^1/2,A^1/3,A^2/3,1/A,1/A^2,1/A^3,1/A^4,A^-1/2,A^-1/3,A^-2/3,Z^2,Z^3,Z^4,Z^1/2,Z^1/3,Z^2/3,1/Z,1/Z^2,1/Z^3,1/Z^4,Z^-1/2,Z^-1/3,Z^-2/3,N^2,N^3,N^4,N^1/2,N^1/3,N^2/3,1/N,1/N^2,1/N^3,1/N^4,N^-1/2,N^-1/3,N^-2/3,Parity
6.4750835,10,5,5,100,1000,10000,3.16227766,2.15443469,4.641588834,0.1,0.01,0.001,0.0001,0.316227766,0.464158883,0.215443469,25,125,625,2.236067977,1.709975947,2.924017738,0.2,0.04,0.008,0.0016,0.447213595,0.584803548,0.341995189,25,125,625,2.236067977,1.709975947,2.924017738,0.2,0.04,0.008,0.0016,0.447213595,0.584803548,0.341995189,-1
6.0320426,10,6,4,100,1000,10000,3.16227766,2.15443469,4.641588834,0.1,0.01,0.001,0.0001,0.316227766,0.464158883,0.215443469,36,216,1296,2.449489743,1.817120593,3.301927249,0.166666667,0.027777778,0.00462963,0.000771605,0.40824829,0.550321208,0.302853432,16,64,256,2,1.587401052,2.5198421,0.25,0.0625,0.015625,0.00390625,0.5,0.629960525,0.396850263,1
3.6436724,10,7,3,100,1000,10000,3.16227766,2.15443469,4.641588834,0.1,0.01,0.001,0.0001,0.316227766,0.464158883,0.215443469,49,343,2401,2.645751311,1.912931183,3.65930571,0.142857143,0.020408163,0.002915452,0.000416493,0.377964473,0.522757959,0.273275883,9,27,81,1.732050808,1.44224957,2.080083823,0.333333333,0.111111111,0.037037037,0.012345679,0.577350269,0.693361274,0.480749857,-1
4.1553817,11,3,8,121,1331,14641,3.31662479,2.223980091,4.946087443,0.090909091,0.008264463,0.000751315,6.83013E-05,0.301511345,0.449644313,0.202180008,9,27,81,1.732050808,1.44224957,2.080083823,0.333333333,0.111111111,0.037037037,0.012345679,0.577350269,0.693361274,0.480749857,64,512,4096,2.828427125,2,4,0.125,0.015625,0.001953125,0.000244141,0.353553391,0.5,0.25,0
5.9525402,11,4,7,121,1331,14641,3.31662479,2.223980091,4.946087443,0.090909091,0.008264463,0.000751315,6.83013E-05,0.301511345,0.449644313,0.202180008,16,64,256,2,1.587401052,2.5198421,0.25,0.0625,0.015625,0.00390625,0.5,0.629960525,0.396850263,49,343,2401,2.645751311,1.912931183,3.65930571,0.142857143,0.020408163,0.002915452,0.000416493,0.377964473,0.522757959,0.273275883,0
6.9277323,11,5,6,121,1331,14641,3.31662479,2.223980091,4.946087443,0.090909091,0.008264463,0.000751315,6.83013E-05,0.301511345,0.449644313,0.202180008,25,125,625,2.236067977,1.709975947,2.924017738,0.2,0.04,0.008,0.0016,0.447213595,0.584803548,0.341995189,36,216,1296,2.449489743,1.817120593,3.301927249,0.166666667,0.027777778,0.00462963,0.000771605,0.40824829,0.550321208,0.302853432,0
6.6764563,11,6,5,121,1331,14641,3.31662479,2.223980091,4.946087443,0.090909091,0.008264463,0.000751315,6.83013E-05,0.301511345,0.449644313,0.202180008,36,216,1296,2.449489743,1.817120593,3.301927249,0.166666667,0.027777778,0.00462963,0.000771605,0.40824829,0.550321208,0.302853432,25,125,625,2.236067977,1.709975947,2.924017738,0.2,0.04,0.008,0.0016,0.447213595,0.584803548,0.341995189,0
5.3584023,11,7,4,121,1331,14641,3.31662479,2.223980091,4.946087443,0.090909091,0.008264463,0.000751315,6.83013E-05,0.301511345,0.449644313,0.202180008,49,343,2401,2.645751311,1.912931183,3.65930571,0.142857143,0.020408163,0.002915452,0.000416493,0.377964473,0.522757959,0.273275883,16,64,256,2,1.587401052,2.5198421,0.25,0.0625,0.015625,0.00390625,0.5,0.629960525,0.396850263,0
3.1624372,11,8,3,121,1331,14641,3.31662479,2.223980091,4.946087443,0.090909091,0.008264463,0.000751315,6.83013E-05,0.301511345,0.449644313,0.202180008,64,512,4096,2.828427125,2,4,0.125,0.015625,0.001953125,0.000244141,0.353553391,0.5,0.25,9,27,81,1.732050808,1.44224957,2.080083823,0.333333333,0.111111111,0.037037037,0.012345679,0.577350269,0.693361274,0.480749857,0
3.7915999,12,3,9,144,1728,20736,3.464101615,2.289428485,5.241482788,0.083333333,0.006944444,0.000578704,4.82253E-05,0.288675135,0.436790232,0.190785707,9,27,81,1.732050808,1.44224957,2.080083823,0.333333333,0.111111111,0.037037037,0.012345679,0.577350269,0.693361274,0.480749857,81,729,6561,3,2.080083823,4.326748711,0.111111111,0.012345679,0.001371742,0.000152416,0.333333333,0.480749857,0.231120425,-1
